name,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,train_acc
Logistic Regression,0.8041163946061036,0.6655405405405406,0.5267379679144385,0.5880597014925373,0.8466093156630241,0.6635222607611466,0.4672789847546282,0.8104366347177849
Gradient Boosting,0.7934705464868701,0.6378737541528239,0.5133689839572193,0.5688888888888889,0.8387248443514428,0.6543233437354737,0.43961400994420513,0.8457578984735534
AdaBoost,0.7877927608232789,0.6245847176079734,0.5026737967914439,0.557037037037037,0.836079464723966,0.6157702148236288,0.42392802187144,0.80386936457224
Random Forest,0.7856635911994322,0.6224489795918368,0.4893048128342246,0.5479041916167665,0.8248056007646802,0.6181316090479223,0.4151687635521365,0.9980475683351083
Naive Bayes,0.7012065294535131,0.46412213740458014,0.8128342245989305,0.5908649173955296,0.8218837996331603,0.6368625832712492,0.41937883829014055,0.707667731629393
SVM (RBF),0.7991483321504613,0.657439446366782,0.5080213903743316,0.5731523378582202,0.7969774471053244,0.623411779692546,0.45095611548489933,0.8214412495562655
K-Nearest Neighbours,0.7778566359119943,0.5899705014749262,0.5347593582887701,0.5610098176718092,0.7962076002996719,0.5694554647149728,0.41368827216125703,0.8294284700035499
Decision Tree,0.7480482611781405,0.5267605633802817,0.5,0.5130315500685871,0.6683574879227052,0.3960985215765851,0.3434617072303742,0.9980475683351083
